question,context,answer
Fai ondeggiare il collo,Muovi il collo,"ecco, ora muovo solo il collo"
Scalda il collo con un movimento,Muovi il collo,"ecco, ora muovo solo il collo"
Sposta il collo avanti e indietro,Muovi il collo,"ecco, ora muovo solo il collo"
Scuoti la testa,Muovi la testa,"ecco, guarda"
Gira la testa,Muovi la testa,"ecco, guarda"
Muovi il capo,Muovi la testa,"ecco, guarda"
Fai un cenno con la testa,Muovi la testa,"ecco, guarda"
Inclina la testa,Muovi la testa,"ecco, guarda"
Sposta la testa a destra e sinistra,Muovi la testa,"ecco, guarda"
Fai oscillare la testa,Muovi la testa,"ecco, guarda"
Ruota la testa,Muovi la testa,"ecco, guarda"
Muovi la testa su e giù,Muovi la testa,"ecco, guarda"
Scrolla la testa,Muovi la testa,"ecco, guarda"
Dai un colpo di testa,Muovi la testa,"ecco, guarda"
Fai un movimento con la testa,Muovi la testa,"ecco, guarda"
Agita il capo,Muovi la testa,"ecco, guarda"
Sposta la testa di lato,Muovi la testa,"ecco, guarda"
Annuisci o scuoti la testa,Muovi la testa,"ecco, guarda"
Piega la testa da una parte,Muovi la testa,"ecco, guarda"
Fai un gesto con la testa,Muovi la testa,"ecco, guarda"
Inclina il capo leggermente,Muovi la testa,"ecco, guarda"
Ruota il collo e la testa,Muovi la testa,"ecco, guarda"
Fai ondeggiare la testa,Muovi la testa,"ecco, guarda"
Scuoti la testa e il collo,Muovi la testa e il collo,"si, ora muovo testa e collo"
Gira la testa e il collo,Muovi la testa e il collo,"si, ora muovo testa e collo"
Muovi il capo e il collo,Muovi la testa e il collo,"si, ora muovo testa e collo"
Fai un cenno con la testa e il collo,Muovi la testa e il collo,"si, ora muovo testa e collo"
Inclina la testa e il collo,Muovi la testa e il collo,"si, ora muovo testa e collo"
Sposta la testa e il collo a destra e sinistra,Muovi la testa e il collo,"si, ora muovo testa e collo"
Fai oscillare la testa e il collo,Muovi la testa e il collo,"si, ora muovo testa e collo"
Ruota la testa insieme al collo,Muovi la testa e il collo,"si, ora muovo testa e collo"
Muovi la testa su e giù con il collo,Muovi la testa e il collo,"si, ora muovo testa e collo"
Scrolla la testa e il collo,Muovi la testa e il collo,"si, ora muovo testa e collo"
Dai un colpo con la testa e il collo,Muovi la testa e il collo,"si, ora muovo testa e collo"
Fai un movimento fluido con la testa e il collo,Muovi la testa e il collo,"si, ora muovo testa e collo"
Agita il capo e il collo,Muovi la testa e il collo,"si, ora muovo testa e collo"
Sposta il collo e la testa di lato,Muovi la testa e il collo,"si, ora muovo testa e collo"
Annuisci e scuoti la testa con il collo,Muovi la testa e il collo,"si, ora muovo testa e collo"
Piega la testa e il collo da una parte,Muovi la testa e il collo,"si, ora muovo testa e collo"
Fai un gesto ampio con la testa e il collo,Muovi la testa e il collo,"si, ora muovo testa e collo"
Inclina il capo e fai ruotare il collo,Muovi la testa e il collo,"si, ora muovo testa e collo"
Ruota il collo insieme alla testa,Muovi la testa e il collo,"si, ora muovo testa e collo"
Fai ondeggiare la testa e il collo,Muovi la testa e il collo,"si, ora muovo testa e collo"
Chi è Barack Obama?,Obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Cosa sai di Barack Obama?,Obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Parlami di Barack Obama.,Obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Chi è il presidente Obama?,Obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Qual è la storia di Barack Obama?,Obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Chi è Obama?,Obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Come descriveresti Obama?,Obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Qual è l'identità di Barack Obama?,Obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Qual è il ruolo di Barack Obama nella storia?,Obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Chi è l'ex presidente Obama?,Obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Cosa ha fatto Obama nella sua vita?,Obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Chi è Barack Obama nella politica?,Obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Qual è il contributo di Barack Obama?,Obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Di cosa è noto Barack Obama?,Obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Chi è Obama nel contesto storico?,Obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Cos'è noto per aver fatto Obama?,Obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Qual è il percorso di vita di Barack Obama?,Obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Che ruolo ha avuto Barack Obama negli Stati Uniti?,Obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Come si può descrivere Barack Obama?,Obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Chi è il politico Barack Obama?,Obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Cos'è l'azienda Protom?,Protom,"Protom è un'azienda che offre soluzioni innovative nel settore della tecnologia, specializzandosi in consulenza, sviluppo software e digitalizzazione per imprese e istituzioni."
Cosa fa Protom?,Protom,"Protom è un'azienda che offre soluzioni innovative nel settore della tecnologia, specializzandosi in consulenza, sviluppo software e digitalizzazione per imprese e istituzioni."
Parlami di Protom.,Protom,"Protom è un'azienda che offre soluzioni innovative nel settore della tecnologia, specializzandosi in consulenza, sviluppo software e digitalizzazione per imprese e istituzioni."
Qual è la storia dell'azienda Protom?,Protom,"Protom è un'azienda che offre soluzioni innovative nel settore della tecnologia, specializzandosi in consulenza, sviluppo software e digitalizzazione per imprese e istituzioni."
Cosa rappresenta Protom?,Protom,"Protom è un'azienda che offre soluzioni innovative nel settore della tecnologia, specializzandosi in consulenza, sviluppo software e digitalizzazione per imprese e istituzioni."
Come descriveresti l'azienda Protom?,Protom,"Protom è un'azienda che offre soluzioni innovative nel settore della tecnologia, specializzandosi in consulenza, sviluppo software e digitalizzazione per imprese e istituzioni."
Qual è la missione di Protom?,Protom,"Protom è un'azienda che offre soluzioni innovative nel settore della tecnologia, specializzandosi in consulenza, sviluppo software e digitalizzazione per imprese e istituzioni."
Di cosa si occupa Protom?,Protom,"Protom è un'azienda che offre soluzioni innovative nel settore della tecnologia, specializzandosi in consulenza, sviluppo software e digitalizzazione per imprese e istituzioni."
Qual è l'identità di Protom?,Protom,"Protom è un'azienda che offre soluzioni innovative nel settore della tecnologia, specializzandosi in consulenza, sviluppo software e digitalizzazione per imprese e istituzioni."
Che tipo di azienda è Protom?,Protom,"Protom è un'azienda che offre soluzioni innovative nel settore della tecnologia, specializzandosi in consulenza, sviluppo software e digitalizzazione per imprese e istituzioni."
Cosa caratterizza Protom?,Protom,"Protom è un'azienda che offre soluzioni innovative nel settore della tecnologia, specializzandosi in consulenza, sviluppo software e digitalizzazione per imprese e istituzioni."
Come funziona l'azienda Protom?,Protom,"Protom è un'azienda che offre soluzioni innovative nel settore della tecnologia, specializzandosi in consulenza, sviluppo software e digitalizzazione per imprese e istituzioni."
Cosa rende unica Protom?,Protom,"Protom è un'azienda che offre soluzioni innovative nel settore della tecnologia, specializzandosi in consulenza, sviluppo software e digitalizzazione per imprese e istituzioni."
Quali sono i servizi di Protom?,Protom,"Protom è un'azienda che offre soluzioni innovative nel settore della tecnologia, specializzandosi in consulenza, sviluppo software e digitalizzazione per imprese e istituzioni."
Cosa puoi dirmi su Protom?,Protom,"Protom è un'azienda che offre soluzioni innovative nel settore della tecnologia, specializzandosi in consulenza, sviluppo software e digitalizzazione per imprese e istituzioni."
Qual è il settore di Protom?,Protom,"Protom è un'azienda che offre soluzioni innovative nel settore della tecnologia, specializzandosi in consulenza, sviluppo software e digitalizzazione per imprese e istituzioni."
Come si può definire l'azienda Protom?,Protom,"Protom è un'azienda che offre soluzioni innovative nel settore della tecnologia, specializzandosi in consulenza, sviluppo software e digitalizzazione per imprese e istituzioni."
Che cosa fa Protom nel mercato?,Protom,"Protom è un'azienda che offre soluzioni innovative nel settore della tecnologia, specializzandosi in consulenza, sviluppo software e digitalizzazione per imprese e istituzioni."
Cos'è noto di Protom?,Protom,"Protom è un'azienda che offre soluzioni innovative nel settore della tecnologia, specializzandosi in consulenza, sviluppo software e digitalizzazione per imprese e istituzioni."
Qual è il ruolo di Protom nel suo settore?,Protom,"Protom è un'azienda che offre soluzioni innovative nel settore della tecnologia, specializzandosi in consulenza, sviluppo software e digitalizzazione per imprese e istituzioni."
Raccontami qualcosa su Napoli,Napoli,"Napoli è una città storica con una cultura vivace, famosa per la pizza, il Vesuvio e il suo centro storico. Un luogo ricco di tradizioni e paesaggi mozzafiato."
Cosa puoi dirmi su Napoli?,Napoli,"Napoli è una città storica con una cultura vivace, famosa per la pizza, il Vesuvio e il suo centro storico. Un luogo ricco di tradizioni e paesaggi mozzafiato."
Parlami un po' di Napoli,Napoli,"Napoli è una città storica con una cultura vivace, famosa per la pizza, il Vesuvio e il suo centro storico. Un luogo ricco di tradizioni e paesaggi mozzafiato."
Qual è la storia di Napoli?,Napoli,"Napoli è una città storica con una cultura vivace, famosa per la pizza, il Vesuvio e il suo centro storico. Un luogo ricco di tradizioni e paesaggi mozzafiato."
Come è la città di Napoli?,Napoli,"Napoli è una città storica con una cultura vivace, famosa per la pizza, il Vesuvio e il suo centro storico. Un luogo ricco di tradizioni e paesaggi mozzafiato."
Cosa rende speciale Napoli?,Napoli,"Napoli è una città storica con una cultura vivace, famosa per la pizza, il Vesuvio e il suo centro storico. Un luogo ricco di tradizioni e paesaggi mozzafiato."
Quali sono le caratteristiche di Napoli?,Napoli,"Napoli è una città storica con una cultura vivace, famosa per la pizza, il Vesuvio e il suo centro storico. Un luogo ricco di tradizioni e paesaggi mozzafiato."
Come descriveresti Napoli?,Napoli,"Napoli è una città storica con una cultura vivace, famosa per la pizza, il Vesuvio e il suo centro storico. Un luogo ricco di tradizioni e paesaggi mozzafiato."
Cos'ha di unico Napoli?,Napoli,"Napoli è una città storica con una cultura vivace, famosa per la pizza, il Vesuvio e il suo centro storico. Un luogo ricco di tradizioni e paesaggi mozzafiato."
Cosa dovrei sapere su Napoli?,Napoli,"Napoli è una città storica con una cultura vivace, famosa per la pizza, il Vesuvio e il suo centro storico. Un luogo ricco di tradizioni e paesaggi mozzafiato."
Raccontami della città di Napoli,Napoli,"Napoli è una città storica con una cultura vivace, famosa per la pizza, il Vesuvio e il suo centro storico. Un luogo ricco di tradizioni e paesaggi mozzafiato."
Che cosa rende famosa Napoli?,Napoli,"Napoli è una città storica con una cultura vivace, famosa per la pizza, il Vesuvio e il suo centro storico. Un luogo ricco di tradizioni e paesaggi mozzafiato."
Che tipo di posto è Napoli?,Napoli,"Napoli è una città storica con una cultura vivace, famosa per la pizza, il Vesuvio e il suo centro storico. Un luogo ricco di tradizioni e paesaggi mozzafiato."
Com'è Napoli?,Napoli,"Napoli è una città storica con una cultura vivace, famosa per la pizza, il Vesuvio e il suo centro storico. Un luogo ricco di tradizioni e paesaggi mozzafiato."
Che cosa rende Napoli un posto speciale?,Napoli,"Napoli è una città storica con una cultura vivace, famosa per la pizza, il Vesuvio e il suo centro storico. Un luogo ricco di tradizioni e paesaggi mozzafiato."
Qual è la cultura di Napoli?,Napoli,"Napoli è una città storica con una cultura vivace, famosa per la pizza, il Vesuvio e il suo centro storico. Un luogo ricco di tradizioni e paesaggi mozzafiato."
Cosa caratterizza Napoli?,Napoli,"Napoli è una città storica con una cultura vivace, famosa per la pizza, il Vesuvio e il suo centro storico. Un luogo ricco di tradizioni e paesaggi mozzafiato."
Che tipo di città è Napoli?,Napoli,"Napoli è una città storica con una cultura vivace, famosa per la pizza, il Vesuvio e il suo centro storico. Un luogo ricco di tradizioni e paesaggi mozzafiato."
Dimmi qualcosa su Alessandro Magno,Alessandro Magno,"Alessandro Magno,vissuto dal 356 al 323 avanti cristo, fu un re macedone che conquistò gran parte del mondo antico, dall’Egitto all’India"
Cosa sai di Alessandro Magno?,Alessandro Magno,"Alessandro Magno,vissuto dal 356 al 323 avanti cristo, fu un re macedone che conquistò gran parte del mondo antico, dall’Egitto all’India"
Raccontami la storia di Alessandro Magno,Alessandro Magno,"Alessandro Magno,vissuto dal 356 al 323 avanti cristo, fu un re macedone che conquistò gran parte del mondo antico, dall’Egitto all’India"
Chi era Alessandro Magno?,Alessandro Magno,"Alessandro Magno,vissuto dal 356 al 323 avanti cristo, fu un re macedone che conquistò gran parte del mondo antico, dall’Egitto all’India"
Quali imprese ha compiuto Alessandro Magno?,Alessandro Magno,"Alessandro Magno,vissuto dal 356 al 323 avanti cristo, fu un re macedone che conquistò gran parte del mondo antico, dall’Egitto all’India"
Qual è la biografia di Alessandro Magno?,Alessandro Magno,"Alessandro Magno,vissuto dal 356 al 323 avanti cristo, fu un re macedone che conquistò gran parte del mondo antico, dall’Egitto all’India"
Puoi darmi informazioni su Alessandro Magno?,Alessandro Magno,"Alessandro Magno,vissuto dal 356 al 323 avanti cristo, fu un re macedone che conquistò gran parte del mondo antico, dall’Egitto all’India"
Vorrei sapere di più su Alessandro Magno,Alessandro Magno,"Alessandro Magno,vissuto dal 356 al 323 avanti cristo, fu un re macedone che conquistò gran parte del mondo antico, dall’Egitto all’India"
Quali sono le gesta di Alessandro Magno?,Alessandro Magno,"Alessandro Magno,vissuto dal 356 al 323 avanti cristo, fu un re macedone che conquistò gran parte del mondo antico, dall’Egitto all’India"
Spiegami chi era Alessandro Magno,Alessandro Magno,"Alessandro Magno,vissuto dal 356 al 323 avanti cristo, fu un re macedone che conquistò gran parte del mondo antico, dall’Egitto all’India"
Sai qualcosa su Alessandro Magno?,Alessandro Magno,"Alessandro Magno,vissuto dal 356 al 323 avanti cristo, fu un re macedone che conquistò gran parte del mondo antico, dall’Egitto all’India"
Puoi parlarmi della vita di Alessandro Magno?,Alessandro Magno,"Alessandro Magno,vissuto dal 356 al 323 avanti cristo, fu un re macedone che conquistò gran parte del mondo antico, dall’Egitto all’India"
Quali territori ha conquistato Alessandro Magno?,Alessandro Magno,"Alessandro Magno,vissuto dal 356 al 323 avanti cristo, fu un re macedone che conquistò gran parte del mondo antico, dall’Egitto all’India"
Raccontami di Alessandro il Grande,Alessandro Magno,"Alessandro Magno,vissuto dal 356 al 323 avanti cristo, fu un re macedone che conquistò gran parte del mondo antico, dall’Egitto all’India"
Cosa ha fatto Alessandro Magno nella storia?,Alessandro Magno,"Alessandro Magno,vissuto dal 356 al 323 avanti cristo, fu un re macedone che conquistò gran parte del mondo antico, dall’Egitto all’India"
Cosa ha fatto Alessandro Magno nella sua vita?,Alessandro Magno,"Alessandro Magno,vissuto dal 356 al 323 avanti cristo, fu un re macedone che conquistò gran parte del mondo antico, dall’Egitto all’India"
Dimmi di più sulla vita di Alessandro Magno,Alessandro Magno,"Alessandro Magno,vissuto dal 356 al 323 avanti cristo, fu un re macedone che conquistò gran parte del mondo antico, dall’Egitto all’India"
Chi è Alessandro Magno?,Alessandro Magno,"Alessandro Magno,vissuto dal 356 al 323 avanti cristo, fu un re macedone che conquistò gran parte del mondo antico, dall’Egitto all’India"
Parlami di Alessandro Magno,Alessandro Magno,"Alessandro Magno,vissuto dal 356 al 323 avanti cristo, fu un re macedone che conquistò gran parte del mondo antico, dall’Egitto all’India"
Parlami di te,Presentazione,"Piacere di conoscerti! Io sono Classmate, il tuo assistente virtuale. Sono qui per darti informazioni, supporto o anche solo per fare una conversazione interessante"
Dimmi qualcosa su di te,Presentazione,"Piacere di conoscerti! Io sono Classmate, il tuo assistente virtuale. Sono qui per darti informazioni, supporto o anche solo per fare una conversazione interessante"
Come ti chiami?,Presentazione,"Piacere di conoscerti! Io sono Classmate, il tuo assistente virtuale. Sono qui per darti informazioni, supporto o anche solo per fare una conversazione interessante"
Qual è il tuo nome?,Presentazione,"Piacere di conoscerti! Io sono Classmate, il tuo assistente virtuale. Sono qui per darti informazioni, supporto o anche solo per fare una conversazione interessante"
Puoi presentarti?,Presentazione,"Piacere di conoscerti! Io sono Classmate, il tuo assistente virtuale. Sono qui per darti informazioni, supporto o anche solo per fare una conversazione interessante"
Vorrei sapere chi sei,Presentazione,"Piacere di conoscerti! Io sono Classmate, il tuo assistente virtuale. Sono qui per darti informazioni, supporto o anche solo per fare una conversazione interessante"
Chi sei tu?,Presentazione,"Piacere di conoscerti! Io sono Classmate, il tuo assistente virtuale. Sono qui per darti informazioni, supporto o anche solo per fare una conversazione interessante"
Potresti dirmi chi sei?,Presentazione,"Piacere di conoscerti! Io sono Classmate, il tuo assistente virtuale. Sono qui per darti informazioni, supporto o anche solo per fare una conversazione interessante"
Mi dici qualcosa su di te?,Presentazione,"Piacere di conoscerti! Io sono Classmate, il tuo assistente virtuale. Sono qui per darti informazioni, supporto o anche solo per fare una conversazione interessante"
Voglio sapere chi sei,Presentazione,"Piacere di conoscerti! Io sono Classmate, il tuo assistente virtuale. Sono qui per darti informazioni, supporto o anche solo per fare una conversazione interessante"
Qual è la tua identità?,Presentazione,"Piacere di conoscerti! Io sono Classmate, il tuo assistente virtuale. Sono qui per darti informazioni, supporto o anche solo per fare una conversazione interessante"
Raccontami qualcosa su di te,Presentazione,"Piacere di conoscerti! Io sono Classmate, il tuo assistente virtuale. Sono qui per darti informazioni, supporto o anche solo per fare una conversazione interessante"
Posso sapere chi sei?,Presentazione,"Piacere di conoscerti! Io sono Classmate, il tuo assistente virtuale. Sono qui per darti informazioni, supporto o anche solo per fare una conversazione interessante"
Chi sei esattamente?,Presentazione,"Piacere di conoscerti! Io sono Classmate, il tuo assistente virtuale. Sono qui per darti informazioni, supporto o anche solo per fare una conversazione interessante"
Dammi qualche informazione su di te,Presentazione,"Piacere di conoscerti! Io sono Classmate, il tuo assistente virtuale. Sono qui per darti informazioni, supporto o anche solo per fare una conversazione interessante"
Potresti descriverti?,Presentazione,"Piacere di conoscerti! Io sono Classmate, il tuo assistente virtuale. Sono qui per darti informazioni, supporto o anche solo per fare una conversazione interessante"
Sei in grado di presentarti?,Presentazione,"Piacere di conoscerti! Io sono Classmate, il tuo assistente virtuale. Sono qui per darti informazioni, supporto o anche solo per fare una conversazione interessante"
Voglio sapere di più su di te,Presentazione,"Piacere di conoscerti! Io sono Classmate, il tuo assistente virtuale. Sono qui per darti informazioni, supporto o anche solo per fare una conversazione interessante"
Come dovrei chiamarti?,Presentazione,"Piacere di conoscerti! Io sono Classmate, il tuo assistente virtuale. Sono qui per darti informazioni, supporto o anche solo per fare una conversazione interessante"
Chi ho il piacere di conoscere?,Presentazione,"Piacere di conoscerti! Io sono Classmate, il tuo assistente virtuale. Sono qui per darti informazioni, supporto o anche solo per fare una conversazione interessante"
